"SkuPartNumber","ActiveUnits","ConsumedUnits","RemainingUnits","Description"
"EMSPREMIUM","20","20","0","ENTERPRISE MOBILITY + SECURITY E5"
"ENTERPRISEPREMIUM","20","20","0","OFFICE 365 E5"
"ENTERPRISEPACK","2","1","1","OFFICE 365 E3"
"FLOW_FREE","10000","1","9999","MICROSOFT FLOW FREE"
"Win10_VDA_E3","20","2","18","Windows 10 Enterprise E3 Demo Trial"
"INFORMATION_PROTECTION_COMPLIANCE","20","20","0","Microsoft 365 E5 Compliance"
"EMSPREMIUM","20","20","0","ENTERPRISE MOBILITY + SECURITY E5"
"ENTERPRISEPREMIUM","20","20","0","OFFICE 365 E5"
"ENTERPRISEPACK","2","1","1","OFFICE 365 E3"
"FLOW_FREE","10000","1","9999","MICROSOFT FLOW FREE"
"Win10_VDA_E3","20","2","18","Windows 10 Enterprise E3 Demo Trial"
"INFORMATION_PROTECTION_COMPLIANCE","20","20","0","Microsoft 365 E5 Compliance"
